"interview_id","candidate_id","req_id","interview_date","interview_type","interviewer_role","skill_focus","interview_score","recommendation"
"I3055","C4294","R1053","2024-04-16","In Person","HR Director","Communication","3.2","Neutral"
"I3056","C3729","R1041","2024-04-18","Phone","Engineering Lead","Teamwork","3.6","Hire"
"I3057","C2088","R1011","2024-03-29","In Person","Ops Director","Leadership","3.5","Strong Hire"
"I3058","C4071","R1096","2024-12-27","In Person","Ops Director","Adaptability","4.7","Neutral"
"I3059","C2971","R1021","2024-11-24","Video Call","HR Director","Technical Skills","3.2","Hire"
"I3060","C3740","R1146","2024-06-05","In Person","Recruiter","Adaptability","4.4","Strong Hire"
"I3061","C2853","R1098","2024-04-29","In Person","Ops Director","Communication","3.6","Neutral"
"I3062","C2878","R1022","2024-11-14","Video Call","Marketing Manager","Technical Skills","2.7","Strong Hire"
"I3063","C2461","R1010","2024-06-27","Video Call","Ops Director","Technical Skills","3.9","Neutral"
"I3064","C3083","R1040","2024-11-08","Phone","Engineering Lead","Teamwork","4.7","Hire"
"I3065","C2142","R1097","2024-01-11","In Person","Marketing Manager","Communication","3.2","Neutral"
"I3066","C2231","R1011","2024-10-09","In Person","Ops Director","Technical Skills","2.9","Neutral"
"I3067","C4634","R1113","2024-05-21","Phone","Ops Director","Teamwork","2.7","Hire"
"I3068","C4228","R1049","2024-04-03","Video Call","Ops Director","Communication","5","Neutral"
"I3069","C2726","R1023","2024-12-21","Video Call","Marketing Manager","Adaptability","3","Strong Hire"
"I3070","C4644","R1008","2024-04-08","In Person","HR Director","Technical Skills","3.8","Strong Hire"
"I3071","C3251","R1105","2024-08-17","Video Call","Recruiter","Communication","3.7","Hire"
"I3072","C4844","R1140","2024-07-19","In Person","Recruiter","Adaptability","2.6","Neutral"
"I3073","C3696","R1113","2024-06-22","In Person","Recruiter","Communication","4.9","Strong Hire"
"I3074","C3904","R1128","2024-01-14","Video Call","Recruiter","Technical Skills","3.1","Neutral"
"I3075","C3889","R1018","2024-02-17","Phone","Recruiter","Adaptability","4.1","Hire"
"I3076","C2447","R1078","2024-03-13","Phone","Ops Director","Teamwork","4.7","Neutral"
"I3077","C2760","R1099","2024-02-26","Phone","Engineering Lead","Adaptability","4.4","Strong Hire"
"I3078","C4332","R1064","2024-03-15","Phone","Marketing Manager","Leadership","3.3","Neutral"
"I3079","C2923","R1045","2024-03-14","Video Call","HR Director","Personality","2.7","Neutral"
"I3080","C3402","R1040","2024-06-05","Phone","Ops Director","Adaptability","2.9","Strong Hire"
"I3081","C3827","R1042","2024-02-18","Video Call","Marketing Manager","Communication","3.6","Neutral"
"I3082","C2920","R1123","2024-12-12","Phone","Marketing Manager","Teamwork","4","Neutral"
"I3083","C2548","R1081","2024-10-21","Video Call","Engineering Lead","Technical Skills","2.6","Strong Hire"
"I3084","C4733","R1035","2024-11-06","Phone","Ops Director","Communication","3.9","Neutral"
"I3085","C4194","R1015","2024-01-31","Video Call","Marketing Manager","Adaptability","2.8","Neutral"
"I3086","C2039","R1132","2024-12-02","In Person","Engineering Lead","Personality","3.8","Hire"
"I3087","C4283","R1050","2024-08-11","Phone","Ops Director","Leadership","4","Hire"
"I3088","C3231","R1135","2024-05-22","Phone","Marketing Manager","Leadership","4.6","Neutral"
"I3089","C4213","R1030","2024-05-20","Video Call","Engineering Lead","Technical Skills","2.8","Neutral"
"I3090","C3768","R1098","2024-01-08","Phone","Recruiter","Technical Skills","3","Neutral"
"I3091","C3471","R1049","2024-05-29","Video Call","HR Director","Technical Skills","2.6","Neutral"
"I3092","C4925","R1025","2024-05-09","Video Call","HR Director","Problem Solving","2.5","Strong Hire"
"I3093","C2487","R1077","2024-04-13","Video Call","Recruiter","Leadership","4.6","Hire"
"I3094","C3870","R1060","2024-10-05","In Person","Ops Director","Leadership","3.9","Neutral"
"I3095","C2336","R1056","2024-12-16","In Person","Marketing Manager","Leadership","2.6","Strong Hire"
"I3096","C2897","R1114","2024-09-24","Phone","Recruiter","Teamwork","4.9","Strong Hire"
"I3097","C2348","R1006","2024-03-17","Video Call","Ops Director","Teamwork","3.3","Hire"
"I3098","C2074","R1131","2024-07-30","Phone","Recruiter","Personality","3.3","Hire"
"I3099","C3683","R1101","2024-08-09","Phone","Engineering Lead","Problem Solving","3.2","Neutral"
"I3100","C3808","R1047","2024-12-27","Phone","Recruiter","Problem Solving","3.2","Strong Hire"
"I3101","C4208","R1130","2024-03-17","Phone","HR Director","Problem Solving","4","Neutral"
"I3102","C3601","R1071","2024-08-27","Phone","Ops Director","Problem Solving","3.7","Neutral"
"I3103","C2931","R1009","2024-01-05","Video Call","Marketing Manager","Communication","3.4","Neutral"
"I3104","C3206","R1110","2024-10-08","Phone","Ops Director","Adaptability","3.9","Neutral"
"I3105","C2475","R1033","2024-12-06","In Person","Recruiter","Adaptability","3.4","Strong Hire"
"I3106","C3628","R1068","2024-07-28","Phone","Recruiter","Problem Solving","3","Neutral"
"I3107","C2096","R1062","2024-03-30","Phone","HR Director","Problem Solving","3.6","Strong Hire"
"I3108","C2821","R1038","2024-01-06","Phone","Recruiter","Technical Skills","2.6","Neutral"
"I3109","C4038","R1127","2024-12-01","In Person","Marketing Manager","Communication","3.3","Strong Hire"
"I3110","C2727","R1083","2024-11-14","Phone","Marketing Manager","Adaptability","3.5","Strong Hire"
"I3111","C2360","R1101","2024-03-17","Video Call","Recruiter","Leadership","4.9","Neutral"
"I3112","C3062","R1074","2024-06-11","Phone","Ops Director","Technical Skills","5","Hire"
"I3113","C2415","R1121","2024-12-26","In Person","Marketing Manager","Leadership","5","Neutral"
"I3114","C3586","R1027","2024-10-06","Video Call","HR Director","Personality","4.9","Neutral"
"I3115","C3810","R1021","2024-11-23","In Person","Ops Director","Leadership","4.6","Hire"
"I3116","C2850","R1103","2024-03-15","Video Call","Recruiter","Technical Skills","3.8","Neutral"
"I3117","C2514","R1045","2024-10-07","Phone","Engineering Lead","Personality","3.3","Neutral"
"I3118","C2624","R1051","2024-07-01","Phone","Recruiter","Adaptability","4.6","Neutral"
"I3119","C3051","R1071","2024-02-21","In Person","Recruiter","Teamwork","4.5","Strong Hire"
"I3120","C4746","R1110","2024-04-29","In Person","HR Director","Problem Solving","3.7","Strong Hire"
"I3121","C3256","R1033","2024-10-01","Phone","Ops Director","Problem Solving","4.3","Neutral"
"I3122","C2095","R1043","2024-02-16","Video Call","Engineering Lead","Personality","4.5","Strong Hire"
"I3123","C2659","R1043","2024-12-28","Video Call","HR Director","Technical Skills","3.1","Strong Hire"
"I3124","C3644","R1057","2024-01-28","Phone","Ops Director","Technical Skills","3.7","Strong Hire"
"I3125","C2239","R1125","2024-02-15","Phone","Recruiter","Technical Skills","3.9","Strong Hire"
"I3126","C3130","R1020","2024-10-28","Phone","HR Director","Leadership","3.1","Neutral"
"I3127","C3911","R1069","2024-12-16","In Person","Recruiter","Teamwork","4.7","Hire"
"I3128","C4929","R1133","2024-07-05","In Person","Ops Director","Technical Skills","4.6","Neutral"
"I3129","C2038","R1127","2024-01-12","In Person","Recruiter","Leadership","3.1","Hire"
"I3130","C3935","R1011","2024-08-27","Phone","Ops Director","Leadership","4.4","Strong Hire"
"I3131","C2458","R1026","2024-03-07","Video Call","Marketing Manager","Problem Solving","4.4","Neutral"
"I3132","C2830","R1117","2024-04-26","In Person","Engineering Lead","Leadership","3.8","Neutral"
"I3133","C2165","R1061","2024-06-29","Video Call","Ops Director","Technical Skills","4.5","Strong Hire"
"I3134","C3906","R1008","2024-03-10","In Person","Recruiter","Teamwork","4.2","Neutral"
"I3135","C2873","R1047","2024-10-09","Video Call","HR Director","Leadership","4.5","Neutral"
"I3136","C3443","R1062","2024-08-11","Video Call","Marketing Manager","Technical Skills","4.5","Neutral"
"I3137","C4538","R1063","2024-07-27","In Person","HR Director","Teamwork","2.7","Strong Hire"
"I3138","C3221","R1124","2024-11-28","Phone","Recruiter","Leadership","3","Neutral"
"I3139","C4140","R1085","2024-05-27","Video Call","Engineering Lead","Teamwork","4.1","Hire"
"I3140","C4219","R1046","2024-01-08","Video Call","HR Director","Technical Skills","4.8","Neutral"
"I3141","C3295","R1115","2024-12-23","Phone","HR Director","Personality","3.4","Neutral"
"I3142","C3191","R1118","2024-06-15","Video Call","HR Director","Communication","3.9","Strong Hire"
"I3143","C2069","R1007","2024-06-12","Phone","Marketing Manager","Personality","3.7","Neutral"
"I3144","C3935","R1011","2024-02-20","Phone","Engineering Lead","Communication","4.8","Neutral"
"I3145","C2548","R1081","2024-07-11","Phone","Ops Director","Problem Solving","3.4","Neutral"
"I3146","C4619","R1078","2024-08-10","Phone","HR Director","Teamwork","2.5","Neutral"
"I3147","C3514","R1037","2024-01-14","Video Call","Marketing Manager","Communication","3.4","Neutral"
"I3148","C3886","R1127","2024-09-29","Phone","Ops Director","Technical Skills","3.5","Neutral"
"I3149","C4626","R1008","2024-04-05","Phone","Recruiter","Technical Skills","3.3","Hire"
"I3150","C3811","R1128","2024-03-23","Video Call","Engineering Lead","Teamwork","4.2","Neutral"
"I3151","C4304","R1000","2024-10-11","Phone","Engineering Lead","Teamwork","5","Neutral"
"I3152","C4114","R1123","2024-12-15","Video Call","Marketing Manager","Leadership","2.8","Neutral"
"I3153","C2847","R1084","2024-08-01","Phone","Recruiter","Personality","4.3","Neutral"
"I3154","C4832","R1024","2024-07-27","Phone","Ops Director","Communication","4.3","Neutral"
"I3155","C4751","R1049","2024-04-30","In Person","Engineering Lead","Problem Solving","2.9","Neutral"
"I3156","C3063","R1121","2024-11-01","Phone","Recruiter","Leadership","3.9","Strong Hire"
"I3157","C3840","R1127","2024-09-13","Video Call","Recruiter","Communication","3.5","Strong Hire"
"I3158","C4438","R1132","2024-05-03","Video Call","Engineering Lead","Personality","3.6","Strong Hire"
"I3159","C4158","R1055","2024-04-15","Video Call","HR Director","Communication","4.4","Hire"
"I3160","C2738","R1050","2024-07-08","Phone","HR Director","Leadership","2.8","Strong Hire"
"I3161","C4667","R1120","2024-03-21","Video Call","Ops Director","Leadership","3.6","Strong Hire"
"I3162","C4526","R1111","2024-07-10","In Person","Recruiter","Personality","3.9","Hire"
"I3163","C2719","R1140","2024-10-18","Phone","Ops Director","Communication","3","Hire"
"I3164","C4251","R1122","2024-08-04","Phone","Engineering Lead","Teamwork","3.2","Strong Hire"
"I3165","C4237","R1059","2024-04-09","Phone","Marketing Manager","Adaptability","4.8","Strong Hire"
"I3166","C3825","R1149","2024-04-03","Phone","Recruiter","Personality","3","Neutral"
"I3167","C3039","R1048","2024-10-15","Video Call","Ops Director","Adaptability","4.7","Neutral"
"I3168","C3141","R1142","2024-06-15","Video Call","HR Director","Problem Solving","4.9","Strong Hire"
"I3169","C3065","R1021","2024-08-24","Phone","Engineering Lead","Technical Skills","4.3","Hire"
"I3170","C4870","R1073","2024-11-29","Phone","HR Director","Communication","4.6","Hire"
"I3171","C2195","R1101","2024-11-26","Video Call","Recruiter","Adaptability","4.3","Neutral"
"I3172","C3356","R1013","2024-01-12","Phone","HR Director","Personality","4","Neutral"
"I3173","C3854","R1111","2024-07-30","In Person","Ops Director","Personality","3.5","Neutral"
"I3174","C2088","R1011","2024-03-25","Phone","Ops Director","Teamwork","3.9","Hire"
"I3175","C2762","R1133","2024-03-29","Phone","Engineering Lead","Problem Solving","3.2","Strong Hire"
"I3176","C2642","R1041","2024-02-04","Video Call","HR Director","Communication","4.9","Hire"
"I3177","C2166","R1136","2024-05-25","Phone","Engineering Lead","Adaptability","2.8","Hire"
"I3178","C3345","R1142","2024-05-05","In Person","HR Director","Problem Solving","4.2","Hire"
"I3179","C2789","R1021","2024-10-15","Phone","HR Director","Communication","2.8","Strong Hire"
"I3180","C4205","R1075","2024-10-23","In Person","Recruiter","Adaptability","4.4","Strong Hire"
"I3181","C2235","R1110","2024-05-04","Video Call","Ops Director","Personality","4.9","Strong Hire"
"I3182","C4033","R1100","2024-02-03","Video Call","Recruiter","Leadership","4","Neutral"
"I3183","C2060","R1018","2024-11-14","Video Call","Ops Director","Teamwork","3.9","Neutral"
"I3184","C2400","R1124","2024-07-09","In Person","HR Director","Leadership","4.3","Strong Hire"
"I3185","C2950","R1038","2024-05-08","In Person","HR Director","Adaptability","3.7","Hire"
"I3186","C3569","R1063","2024-01-03","Phone","Recruiter","Technical Skills","4.5","Hire"
"I3187","C4339","R1134","2024-12-27","In Person","Ops Director","Personality","3.2","Hire"
"I3188","C2433","R1056","2024-03-12","Phone","HR Director","Personality","3.3","Neutral"
"I3189","C2411","R1051","2024-10-29","In Person","Engineering Lead","Teamwork","3.8","Neutral"
"I3190","C3888","R1107","2024-03-19","In Person","Engineering Lead","Problem Solving","3.4","Neutral"
"I3191","C2382","R1122","2024-10-04","In Person","Engineering Lead","Teamwork","4","Strong Hire"
"I3192","C3978","R1033","2024-04-30","Video Call","Marketing Manager","Teamwork","4.6","Hire"
"I3193","C2696","R1138","2024-08-09","In Person","Engineering Lead","Personality","2.9","Neutral"
"I3194","C3126","R1092","2024-12-24","Phone","Ops Director","Teamwork","4.6","Hire"
"I3195","C3790","R1111","2024-09-03","In Person","HR Director","Adaptability","2.5","Neutral"
"I3196","C2513","R1094","2024-03-27","In Person","Engineering Lead","Communication","4.3","Strong Hire"
"I3197","C4275","R1051","2024-03-27","Phone","HR Director","Technical Skills","3.8","Neutral"
"I3198","C3228","R1112","2024-03-27","Video Call","Ops Director","Communication","4.7","Strong Hire"
"I3199","C2665","R1034","2024-07-20","Phone","Recruiter","Problem Solving","4","Strong Hire"
"I3200","C2697","R1139","2024-10-24","In Person","Recruiter","Leadership","2.5","Neutral"
"I3201","C3479","R1087","2024-11-10","Video Call","HR Director","Leadership","4.1","Strong Hire"
"I3202","C2306","R1065","2024-03-23","Phone","Ops Director","Communication","4.4","Hire"
"I3203","C3220","R1029","2024-09-27","Video Call","Recruiter","Leadership","4.2","Neutral"
"I3204","C2588","R1123","2024-08-30","Video Call","Recruiter","Leadership","3.5","Neutral"
"I3205","C3785","R1024","2024-08-25","Phone","Engineering Lead","Teamwork","2.5","Neutral"
"I3206","C2710","R1106","2024-04-15","Phone","Marketing Manager","Leadership","4.1","Hire"
"I3207","C2811","R1106","2024-04-12","Video Call","Recruiter","Personality","4.9","Neutral"
"I3208","C4930","R1073","2024-04-01","Phone","Engineering Lead","Adaptability","2.8","Hire"
"I3209","C3900","R1076","2024-12-20","Video Call","Ops Director","Leadership","4.7","Strong Hire"
"I3210","C2853","R1098","2024-06-16","Video Call","HR Director","Adaptability","4.7","Strong Hire"
"I3211","C3393","R1099","2024-06-02","Phone","Recruiter","Adaptability","4","Hire"
"I3212","C4856","R1031","2024-02-09","Phone","HR Director","Problem Solving","3.6","Neutral"
"I3213","C4032","R1106","2024-08-17","Phone","Engineering Lead","Leadership","4.5","Neutral"
"I3214","C4335","R1100","2024-08-02","Phone","Engineering Lead","Adaptability","4.4","Neutral"
"I3215","C4291","R1070","2024-11-30","In Person","Engineering Lead","Communication","3.8","Neutral"
"I3216","C2049","R1101","2024-02-16","Phone","HR Director","Teamwork","3.7","Neutral"
"I3217","C3600","R1013","2024-09-01","In Person","HR Director","Adaptability","4.6","Strong Hire"
"I3218","C4185","R1005","2024-05-30","Phone","Marketing Manager","Personality","4.6","Neutral"
"I3219","C2909","R1070","2024-10-04","Video Call","Engineering Lead","Leadership","3.5","Neutral"
"I3220","C3848","R1090","2024-07-25","In Person","Marketing Manager","Leadership","2.8","Neutral"
"I3221","C4266","R1085","2024-03-17","Phone","Engineering Lead","Problem Solving","4.5","Strong Hire"
"I3222","C3854","R1111","2024-01-11","Video Call","Ops Director","Technical Skills","3.3","Neutral"
"I3223","C3188","R1141","2024-08-15","Phone","Marketing Manager","Technical Skills","4.7","Hire"
"I3224","C3093","R1099","2024-07-26","Video Call","HR Director","Leadership","4.1","Hire"
"I3225","C3929","R1035","2024-02-11","In Person","Ops Director","Communication","3.6","Neutral"
"I3226","C4516","R1015","2024-07-17","Phone","Ops Director","Personality","3.8","Neutral"
"I3227","C3928","R1105","2024-01-13","Phone","HR Director","Teamwork","4.2","Neutral"
"I3228","C3289","R1118","2024-01-31","In Person","Recruiter","Problem Solving","2.8","Strong Hire"
"I3229","C3074","R1083","2024-04-05","In Person","Recruiter","Teamwork","2.6","Neutral"
"I3230","C2250","R1144","2024-12-10","Phone","HR Director","Leadership","4.9","Hire"
"I3231","C4320","R1067","2024-04-29","In Person","Marketing Manager","Problem Solving","3.5","Neutral"
"I3232","C3899","R1096","2024-10-27","Phone","Recruiter","Adaptability","4","Hire"
"I3233","C3195","R1066","2024-02-27","Phone","HR Director","Technical Skills","4.9","Neutral"
"I3234","C3156","R1143","2024-04-07","Video Call","Marketing Manager","Leadership","2.7","Neutral"
"I3235","C2008","R1061","2024-01-28","Video Call","Ops Director","Personality","3.9","Neutral"
"I3236","C4856","R1031","2024-11-20","Phone","Marketing Manager","Leadership","3.8","Strong Hire"
"I3237","C3543","R1130","2024-11-30","In Person","HR Director","Personality","2.8","Neutral"
"I3238","C4093","R1119","2024-07-30","Phone","Recruiter","Leadership","2.8","Strong Hire"
"I3239","C4583","R1006","2024-08-20","Video Call","Marketing Manager","Communication","3.8","Strong Hire"
"I3240","C2652","R1133","2024-09-26","Video Call","Ops Director","Problem Solving","3.9","Neutral"
"I3241","C3336","R1037","2024-11-19","Phone","Marketing Manager","Problem Solving","4.9","Hire"
"I3242","C3128","R1060","2024-03-28","Phone","Marketing Manager","Leadership","4.3","Neutral"
"I3243","C3934","R1098","2024-11-15","Video Call","HR Director","Problem Solving","3.8","Strong Hire"
"I3244","C2491","R1074","2024-10-31","Video Call","HR Director","Communication","3.2","Hire"
"I3245","C3562","R1108","2024-01-06","In Person","Engineering Lead","Problem Solving","4.7","Strong Hire"
"I3246","C3209","R1068","2024-03-20","In Person","Engineering Lead","Teamwork","3","Strong Hire"
"I3247","C2912","R1125","2024-05-07","Video Call","HR Director","Communication","3.9","Neutral"
"I3248","C4498","R1021","2024-12-19","Video Call","Recruiter","Adaptability","3.1","Neutral"
"I3249","C3262","R1078","2024-07-07","Phone","Engineering Lead","Teamwork","3.1","Strong Hire"
"I3250","C3140","R1096","2024-06-29","In Person","HR Director","Adaptability","4.6","Hire"
"I3251","C4936","R1012","2024-03-18","In Person","Marketing Manager","Problem Solving","3.2","Neutral"
"I3252","C2809","R1059","2024-10-26","Phone","Marketing Manager","Leadership","4.5","Neutral"
"I3253","C2301","R1041","2024-01-26","Phone","Ops Director","Problem Solving","4.9","Hire"
"I3254","C3050","R1089","2024-02-07","Phone","HR Director","Leadership","2.5","Neutral"
"I3255","C3858","R1077","2024-04-20","In Person","HR Director","Personality","4","Hire"
"I3256","C3313","R1132","2024-08-10","In Person","Marketing Manager","Teamwork","3.6","Hire"
"I3257","C2050","R1006","2024-02-18","Video Call","HR Director","Problem Solving","2.6","Neutral"
"I3258","C3340","R1026","2024-02-04","Phone","Ops Director","Communication","3.5","Strong Hire"
"I3259","C3186","R1020","2024-01-18","Video Call","Marketing Manager","Communication","4.9","Neutral"
"I3260","C3164","R1041","2024-03-18","In Person","HR Director","Technical Skills","3","Neutral"
"I3261","C4603","R1116","2024-03-22","In Person","HR Director","Problem Solving","4.1","Neutral"
"I3262","C4732","R1004","2024-06-21","In Person","Engineering Lead","Personality","2.6","Hire"
"I3263","C2950","R1038","2024-03-05","Phone","Marketing Manager","Problem Solving","4.1","Neutral"
"I3264","C4328","R1042","2024-12-03","In Person","Engineering Lead","Problem Solving","4.7","Strong Hire"
"I3265","C3492","R1083","2024-09-02","Phone","Marketing Manager","Leadership","4.8","Neutral"
"I3266","C2626","R1138","2024-06-11","In Person","Recruiter","Communication","3.7","Strong Hire"
"I3267","C2923","R1045","2024-09-07","Phone","Marketing Manager","Adaptability","2.7","Strong Hire"
"I3268","C4031","R1069","2024-01-24","Phone","Recruiter","Personality","3.1","Strong Hire"
"I3269","C2600","R1001","2024-08-23","In Person","Ops Director","Problem Solving","3.8","Hire"
"I3270","C2165","R1061","2024-10-08","Phone","HR Director","Adaptability","3.2","Neutral"
"I3271","C4494","R1051","2024-04-25","Phone","Marketing Manager","Technical Skills","4.4","Neutral"
"I3272","C3291","R1054","2024-11-18","Phone","Marketing Manager","Personality","4.4","Strong Hire"
"I3273","C2139","R1016","2024-02-10","In Person","Recruiter","Teamwork","4.9","Hire"
"I3274","C3097","R1076","2024-06-25","Video Call","HR Director","Technical Skills","3.9","Neutral"
"I3275","C3418","R1049","2024-05-07","In Person","Recruiter","Adaptability","3.2","Neutral"
"I3276","C4466","R1115","2024-05-25","In Person","Marketing Manager","Teamwork","4.6","Strong Hire"
"I3277","C2046","R1017","2024-05-07","In Person","Recruiter","Personality","2.8","Neutral"
"I3278","C4474","R1023","2024-03-23","In Person","HR Director","Adaptability","4.2","Neutral"
"I3279","C4995","R1094","2024-12-03","Phone","Ops Director","Adaptability","4.2","Neutral"
"I3280","C3821","R1061","2024-07-14","In Person","HR Director","Personality","4","Neutral"
"I3281","C3157","R1126","2024-03-08","In Person","Ops Director","Adaptability","4.3","Neutral"
"I3282","C2819","R1014","2024-09-06","Phone","Ops Director","Personality","4.6","Strong Hire"
"I3283","C2174","R1138","2024-04-23","In Person","Recruiter","Technical Skills","4","Strong Hire"
"I3284","C2323","R1100","2024-10-14","Phone","HR Director","Leadership","2.7","Neutral"
"I3285","C2192","R1145","2024-05-31","Video Call","Marketing Manager","Communication","2.8","Neutral"
"I3286","C3862","R1074","2024-08-31","In Person","HR Director","Personality","4","Neutral"
"I3287","C3955","R1019","2024-02-10","Video Call","Engineering Lead","Leadership","4.7","Hire"
"I3288","C3817","R1025","2024-09-05","Phone","Marketing Manager","Adaptability","4.3","Neutral"
"I3289","C3587","R1003","2024-07-05","Video Call","Marketing Manager","Communication","4.3","Neutral"
"I3290","C2950","R1038","2024-10-11","Phone","Marketing Manager","Teamwork","2.5","Neutral"
"I3291","C3836","R1089","2024-05-01","Phone","Marketing Manager","Technical Skills","4.8","Strong Hire"
"I3292","C2170","R1141","2024-11-27","Video Call","HR Director","Adaptability","3.4","Hire"
"I3293","C4593","R1007","2024-01-31","Video Call","Recruiter","Technical Skills","4","Strong Hire"
"I3294","C2971","R1021","2024-12-18","In Person","HR Director","Communication","4","Neutral"
"I3295","C2819","R1014","2024-07-19","Video Call","Ops Director","Teamwork","3.1","Strong Hire"
"I3296","C2170","R1141","2024-12-04","Phone","Recruiter","Adaptability","3.4","Neutral"
"I3297","C3317","R1108","2024-06-17","Video Call","Ops Director","Technical Skills","3.2","Neutral"
