"req_id","department","job_title","level","city","state","opened_at","closed_at","days_open"
"R1041","Customer Service","Call Center Agent","Senior","Los Angeles","Ca","2024-01-20","2024-02-12",23
"R1042","Operations","Warehouse Supervisor","Entry","New York","Ny","2024-04-07","2024-05-19",42
"R1043","Marketing","Content Manager","Senior","San Francisco","Ca","2024-06-18","2024-09-15",89
"R1044","Operations","Supply Chain Analyst","Mid","Dallas","Tx","2024-07-25","2024-09-10",47
"R1045","Operations","Warehouse Supervisor","Mid","Los Angeles","Ca","2024-01-01","2024-02-18",48
"R1046","Operations","Warehouse Supervisor","Senior","New York","Ny","2024-04-19","2024-07-03",75
"R1047","Marketing","Marketing Analyst","Entry","Dallas","Tx","2024-06-07","2024-07-15",38
"R1048","Customer Service","Support Associate","Mid","Dallas","Tx","2024-08-21","2024-10-23",63
"R1049","Marketing","Marketing Analyst","Entry","Phoenix","Az","2024-08-05","2024-09-12",38
"R1050","Engineering","Data Engineer","Senior","San Francisco","Ca","2024-09-28","2024-12-18",81
"R1051","Engineering","QA Analyst","Senior","San Francisco","Ca","2024-08-31","2024-11-06",67
"R1052","Engineering","Data Engineer","Mid","New York","Ny","2024-08-13","2024-09-01",19
"R1053","Engineering","Software Engineer","Entry","Los Angeles","Ca","2024-04-28","2024-06-26",59
"R1054","Customer Service","Call Center Agent","Mid","San Francisco","Ca","2024-07-31","2024-08-17",17
"R1055","Operations","Logistic Manager","Senior","Los Angeles","Ca","2024-06-29","2024-08-16",48
"R1056","HR","HR Coordinator","Senior","Dallas","Tx","2024-09-05","2024-09-18",13
"R1057","Engineering","QA Analyst","Entry","Dallas","Tx","2024-09-30","2024-10-13",13
"R1058","Engineering","Software Engineer","Mid","New York","Ny","2024-05-13","2024-07-10",58
"R1059","HR","HR Coordinator","Senior","New York","Ny","2024-05-09","2024-05-29",20
"R1060","Marketing","Content Manager","Entry","Dallas","Tx","2024-01-21","2024-02-03",13
"R1061","Operations","Warehouse Supervisor","Senior","New York","Ny","2024-02-28","2024-05-20",82
"R1062","Customer Service","Service Lead","Senior","New York","Ny","2024-02-28","2024-03-29",30
"R1063","Operations","Warehouse Supervisor","Senior","San Francisco","Ca","2024-04-11","2024-04-30",19
"R1064","Customer Service","Support Associate","Entry","Phoenix","Az","2024-06-26","2024-09-12",78
"R1065","Operations","Logistic Manager","Mid","San Francisco","Ca","2024-08-09","2024-10-04",56
"R1066","Customer Service","Service Lead","Mid","Phoenix","Az","2024-09-04","2024-11-12",69
"R1067","Operations","Logistic Manager","Entry","New York","Ny","2024-08-25","2024-11-15",82
"R1068","Operations","Logistic Manager","Senior","San Francisco","Ca","2024-06-30","2024-08-12",43
"R1069","Customer Service","Support Associate","Senior","Los Angeles","Ca","2024-02-13","2024-03-24",40
"R1070","Operations","Logistic Manager","Senior","New York","Ny","2024-02-17","2024-04-04",47
"R1071","Operations","Warehouse Supervisor","Mid","New York","Ny","2024-09-28","2024-11-21",54
"R1072","HR","Recruiter","Senior","Dallas","Tx","2024-03-02","2024-04-05",34
"R1073","Operations","Supply Chain Analyst","Entry","Dallas","Tx","2024-09-25","2024-12-20",86
"R1074","Engineering","Data Engineer","Entry","San Francisco","Ca","2024-01-08","2024-03-26",78
"R1075","Engineering","QA Analyst","Mid","Los Angeles","Ca","2024-09-08","2024-10-01",23
"R1076","Engineering","Software Engineer","Mid","Phoenix","Az","2024-05-09","2024-07-19",71
"R1077","Engineering","Software Engineer","Senior","San Francisco","Ca","2024-06-04","2024-06-24",20
"R1078","Customer Service","Call Center Agent","Mid","San Francisco","Ca","2024-08-18","2024-10-23",66
"R1079","Engineering","QA Analyst","Entry","San Francisco","Ca","2024-04-18","2024-05-31",43
"R1080","Engineering","Software Engineer","Entry","New York","Ny","2024-07-28","2024-10-03",67
"R1081","Operations","Logistic Manager","Entry","Dallas","Tx","2024-04-29","2024-06-11",43
"R1082","Engineering","Software Engineer","Mid","Los Angeles","Ca","2024-01-31","2024-03-02",31
"R1083","Operations","Supply Chain Analyst","Entry","Los Angeles","Ca","2024-09-13","2024-12-01",79
"R1084","Customer Service","Call Center Agent","Senior","San Francisco","Ca","2024-01-14","2024-02-04",21
"R1085","Engineering","Data Engineer","Senior","Los Angeles","Ca","2024-09-22","2024-11-27",66
"R1086","Operations","Supply Chain Analyst","Entry","Los Angeles","Ca","2024-07-28","2024-09-18",52
"R1087","HR","Talent Partner","Entry","New York","Ny","2024-07-24","2024-10-12",80
"R1088","Marketing","SEO Specialist","Entry","San Francisco","Ca","2024-09-20","2024-09-30",10
"R1089","Customer Service","Call Center Agent","Senior","New York","Ny","2024-08-14","2024-08-30",16
"R1090","Operations","Logistic Manager","Mid","San Francisco","Ca","2024-01-15","2024-04-14",90
"R1091","Marketing","Marketing Analyst","Mid","San Francisco","Ca","2024-02-28","2024-05-07",69
"R1092","Operations","Supply Chain Analyst","Mid","San Francisco","Ca","2024-08-29","2024-10-09",41
"R1093","Marketing","SEO Specialist","Mid","San Francisco","Ca","2024-07-31","2024-09-22",53
"R1094","Engineering","Data Engineer","Senior","Los Angeles","Ca","2024-10-02","2024-12-12",71
"R1095","Engineering","QA Analyst","Mid","New York","Ny","2024-05-02","2024-07-24",83
"R1096","Operations","Supply Chain Analyst","Senior","Phoenix","Az","2024-03-18","2024-05-30",73
"R1097","Marketing","Content Manager","Senior","Phoenix","Az","2024-08-21","2024-09-01",11
"R1098","HR","HR Coordinator","Mid","San Francisco","Ca","2024-07-22","2024-08-11",20
"R1099","Customer Service","Support Associate","Senior","Los Angeles","Ca","2024-04-30","2024-07-29",90
"R1100","Marketing","SEO Specialist","Mid","New York","Ny","2024-03-26","2024-05-13",48
"R1101","HR","HR Coordinator","Entry","Phoenix","Az","2024-03-15","2024-04-25",41
"R1102","Customer Service","Service Lead","Mid","Los Angeles","Ca","2024-05-03","2024-07-15",73
"R1103","Marketing","SEO Specialist","Mid","San Francisco","Ca","2024-05-27","2024-08-14",79
"R1104","Operations","Warehouse Supervisor","Mid","Phoenix","Az","2024-05-08","2024-07-15",68
"R1105","Operations","Warehouse Supervisor","Entry","New York","Ny","2024-07-02","2024-09-23",83
"R1106","Customer Service","Service Lead","Entry","Dallas","Tx","2024-01-26","2024-04-22",87
"R1107","Customer Service","Call Center Agent","Mid","Phoenix","Az","2024-03-11","2024-06-09",90
"R1108","Engineering","Software Engineer","Entry","San Francisco","Ca","2024-05-31","2024-07-21",51
"R1109","Customer Service","Service Lead","Mid","Phoenix","Az","2024-05-19","2024-06-19",31
"R1110","Marketing","Marketing Analyst","Mid","New York","Ny","2024-04-25","2024-06-24",60
"R1111","Operations","Supply Chain Analyst","Entry","Los Angeles","Ca","2024-05-14","2024-08-06",84
"R1112","Customer Service","Service Lead","Senior","New York","Ny","2024-06-16","2024-09-12",88
"R1113","Marketing","Marketing Analyst","Entry","Dallas","Tx","2024-01-24","2024-02-07",14
"R1114","Operations","Supply Chain Analyst","Mid","Los Angeles","Ca","2024-07-08","2024-09-25",79
"R1115","HR","Recruiter","Entry","Phoenix","Az","2024-07-08","2024-08-14",37
"R1116","Customer Service","Service Lead","Entry","Los Angeles","Ca","2024-07-02","2024-07-19",17
"R1117","Engineering","QA Analyst","Entry","Phoenix","Az","2024-01-11","2024-01-27",16
"R1118","Customer Service","Support Associate","Mid","Dallas","Tx","2024-04-29","2024-06-20",52
"R1119","Engineering","Software Engineer","Entry","Phoenix","Az","2024-01-14","2024-02-09",26
"R1120","HR","Recruiter","Mid","New York","Ny","2024-03-05","2024-05-07",63
"R1121","Operations","Warehouse Supervisor","Mid","Phoenix","Az","2024-04-23","2024-07-20",88
"R1122","Operations","Supply Chain Analyst","Entry","San Francisco","Ca","2024-02-25","2024-05-07",72
"R1123","Marketing","Marketing Analyst","Senior","Los Angeles","Ca","2024-05-20","2024-08-17",89
"R1124","Marketing","Content Manager","Mid","Los Angeles","Ca","2024-02-28","2024-05-18",80
"R1125","Operations","Supply Chain Analyst","Mid","New York","Ny","2024-07-31","2024-08-22",22
"R1126","Operations","Logistic Manager","Entry","Dallas","Tx","2024-02-16","2024-03-07",20
"R1127","Customer Service","Service Lead","Senior","Phoenix","Az","2024-06-17","2024-07-12",25
"R1128","Customer Service","Call Center Agent","Senior","Dallas","Tx","2024-06-29","2024-07-22",23
"R1129","HR","Talent Partner","Mid","San Francisco","Ca","2024-07-07","2024-07-31",24
"R1130","Marketing","Marketing Analyst","Entry","Dallas","Tx","2024-05-19","2024-07-07",49
"R1131","Marketing","Marketing Analyst","Mid","New York","Ny","2024-01-16","2024-02-06",21
"R1132","HR","HR Coordinator","Entry","San Francisco","Ca","2024-06-15","2024-09-05",82
"R1133","Marketing","SEO Specialist","Mid","Dallas","Tx","2024-08-14","2024-10-17",64
"R1134","HR","HR Coordinator","Entry","Los Angeles","Ca","2024-02-26","2024-04-12",46
"R1135","Marketing","Marketing Analyst","Mid","Phoenix","Az","2024-06-03","2024-07-10",37
"R1136","Operations","Warehouse Supervisor","Senior","San Francisco","Ca","2024-08-08","2024-09-09",32
"R1137","Marketing","SEO Specialist","Entry","San Francisco","Ca","2024-01-22","2024-03-27",65
"R1138","Customer Service","Call Center Agent","Entry","Dallas","Tx","2024-08-01","2024-09-17",47
"R1139","HR","Recruiter","Senior","San Francisco","Ca","2024-08-11","2024-09-03",23
"R1140","Operations","Supply Chain Analyst","Entry","San Francisco","Ca","2024-06-22","2024-07-30",38
"R1141","HR","HR Coordinator","Mid","Dallas","Tx","2024-03-16","2024-04-25",40
"R1142","Marketing","Marketing Analyst","Senior","Dallas","Tx","2024-09-09","2024-11-17",69
"R1143","Marketing","SEO Specialist","Senior","New York","Ny","2024-08-14","2024-11-12",90
"R1144","HR","HR Coordinator","Mid","Phoenix","Az","2024-08-19","2024-09-02",14
"R1145","Operations","Warehouse Supervisor","Senior","San Francisco","Ca","2024-01-22","2024-03-29",67
"R1146","Marketing","SEO Specialist","Entry","Los Angeles","Ca","2024-02-22","2024-04-15",53
"R1147","Customer Service","Service Lead","Mid","New York","Ny","2024-03-22","2024-05-17",56
"R1148","HR","Recruiter","Mid","New York","Ny","2024-06-17","2024-07-09",22
"R1149","Customer Service","Service Lead","Entry","New York","Ny","2024-03-13","2024-05-06",54
